video_id,title,views,likes,comments,publish_date,publish_time,duration_seconds
uAxnTXucNTg,سورة نوح دعوة للتوحيد وثبات على الحق وكيف يُبنى الإيمان في وجه الجحود؟ بتلاوة راقية وخاشعة,11,0,0,2025-05-02,05:59:54,262
eHSR1E7gV-4,سورة المعارج عروج الأرواح وارتقاء الإنسان في طاعته لله، مع وصف الجزاء الذي ينتظر المؤمنين في الآخرة,6,1,0,2025-04-27,20:59:09,204
p7KzsaO2M5o,سورة الحاقة:تلاوة مؤثرة وتصوير مهيب ليوم القيامة بين هلاك المكذبين ونجاة المؤمنين وعظمة الحق الإلهي,12,1,0,2025-03-04,04:59:24,462
6EljsjZ09xE,سورة القلم  بين الإيمان والضلال، موازين العدل الإلهي تلاوة رائعة بصوت لا يوصف,5,0,0,2025-03-02,16:16:17,354
uAPgCqm7ifQ,سورة الملك نور في الظلمات ورفيق القبر التي تحميك وتشفع لك اعاننا الله وياكم وجعلنا من الفائزين,15,1,0,2025-01-26,14:06:55,395
TWzOyWk9l0s,سورة التحريم تنبيه للقلوب ونور في درب الطاعة بتلاوة خاشغة تلامس الأرواح,13,1,0,2025-01-11,05:01:35,356
NPPYYghWXJM,سورة الطلاق بعد باسم الله الرحمان الرحيم حكمة التشريع وطمأنينة القلوب ان ابغض الحلال الى الله الطلاق,15,1,0,2025-01-07,19:38:19,329
FJEmFXGZuD8,سورة التغابن يوم وبيان لحكمة الله في الخلق اعاننا الله واياكم بالقران انصتو رحمكم الله,18,1,0,2025-01-02,03:47:38,290
jlfJQKGEB5E,سورة المنافقون رسالة تحذيرية تكشف خبايا القلوب بتلاوة مؤثرة تحرك الأفئدة نفعنا الله واياكم,23,1,0,2024-12-30,02:37:13,230
dcy0xqJTI88,سورة الجمعة تلاوة جميلة جدا تربطك بصلاة الجمعة وتأخدكم لبيوت اذن الله ان يذكر فيها اسمه,21,0,0,2024-12-18,17:04:39,277
tJ1r18I0jc4,سورة الصف تلاوة جديدة كآملة في قمة الروعة قراءات ماقبل النوم لملاقاة الرحمان بالطمئنينة وقلب خاشع,21,1,0,2024-12-01,19:54:12,343
l4Qmmp-RVGI,سورة الممتحنة🍂بصوت السكينة تلاوة غاية في الجمال تزرع نسمات الخشوع في قلب متدبر,24,3,0,2024-11-29,02:23:15,551
H6y_FhEXOpY,سورة الحشر أروع ما ذكر بالقرآن « ولو انزلنا هذا القران على جبل لرأيته خاشعا متصدعا من خشية الله «🤍,18,1,0,2024-11-28,02:11:17,1392
M3SWj9yzoT4,سورة المجادلة تدبر خطوط القرآن وحركاته لفك جميع العقد وتيسير الامور برواية ورش,9,1,0,2024-10-21,00:03:34,601
ASolMZf7cFo,سورة الحديد مانحتاجه الان تلاوة تريح الاعصاب وتربط القلوب بالرحمان وتأخدك لمكان مريح جدا,15,0,0,2024-10-13,00:19:34,678
iIX-pcR6Ams,سورة الواقعة  تلاوة الفجر للاخذ باسباب الرزق وصوت يأخد بتلابيب القلب  ويخطف الانفاس يسر الله اموركم,1073,13,3,2024-10-09,06:10:54,543
dkSeWcnKEbw,ur Cristiano Ronaldo channel | Cristiano Ronaldo official YouTube channel | Cr7 channel pro,34,1,1,2024-08-23,06:05:47,61
l3ArBp0mS8U,سورة الرحمن مكتوبة كنز من الجنة يشفي الالام القلب ويطهر النفوس ويجلي الهموم,10,1,0,2024-08-12,03:03:10,533
zXJAaWAuxEc,End gaming mission 2024,5,2,0,2024-07-03,07:15:57,5444
GFfN0aqYJWA,Summer holiday GAMING 2024 3Best Of Tropical ILA DAR HAD LIVE TIRACHRACH FPROFILE DYALK OPARTAGITIH,2,0,0,2024-07-02,17:28:40,567
ogJm2TXACLA,Summer holiday GAMING 2024 3Best Of Tropical ILA DAR HAD LIVE TIRACHRACH FPROFILE DYALK OPARTAGITIH,4,0,0,2024-07-02,06:55:58,1822
ybUt0XRynHI,Genshin Impact SummerMix 2024 🍓 Best Of Tropical Gaming Chill Out Mix 2024 🍓 Chillout Lounge Mission,2,0,0,2024-06-30,08:55:22,4173
3jQJMb_Xz_g,Genshin Impact SummerMix 2024 🍓 Best Of Tropical Gaming Chill Out Mix 2024 🍓 Chillout Lounge Mission,2,0,0,2024-06-30,07:01:31,1104
uybtisiSYN0,Genshin Impact SummerMix 2024 🍓 Best Of Tropical Gaming Chill Out Mix 2024 🍓 Chillout Lounge Mission,7,1,0,2024-06-30,06:37:42,4076
oGXWg_2CT9w,Genshin Impact SummerMix 2024 🍓 Best Of Tropical Gaming Chill Out Mix 2024 🍓 Chillout Lounge Mission,1,0,0,2024-06-29,17:16:54,45
ZbaHqdH07Ns,Genshin Impact SummerMix 2024 🍓 Best Of Tropical Gaming Chill Out Mix 2024 🍓 Chillout Lounge Mission,0,0,0,2024-06-29,16:39:34,105
yb29NF7icRY,Genshin Impact SummerMix 2024 🍓 Best Of Tropical Gaming Chill Out Mix 2024 🍓 Chillout Lounge Mission,2,0,0,2024-06-28,08:11:28,1873
9a0taqjw3-c,Genshin Impact SummerMix 2024 🍓 Best Of Tropical Gaming Chill Out Mix 2024 🍓 Chillout Lounge Mission,3,0,0,2024-06-28,05:17:10,1407
I3efKD8Oo4A,Genshin Impact SummerMix 2024 🍓 Best Of Tropical Gaming Chill Out Mix 2024 🍓 Chillout Lounge Mission,1,0,0,2024-06-27,17:33:30,579
0jagq0BUbzs,Genshin Impact SummerMix 2024 🍓 Best Of Tropical Gaming Chill Out Mix 2024 🍓 Chillout Lounge Mission,1,0,0,2024-06-27,16:01:00,3290
ReCINbcKrDg,تلاوة عراقية أخاذة لسورة القمر  - ولقد يسرنا القرآن للذكر فهل من مذكر - 🤌🏻,11,2,0,2024-06-25,01:10:46,582
Bl4TiR1FXfM,Hamster combat Daily combo 25 june #daily_combo_25_june,82,3,0,2024-06-24,23:19:19,28
p51rd0WwYSA,#Cipher_Code_hamster_combat_21june #Play4Money #p4m,5,0,0,2024-06-21,22:09:07,41
BloIl1ucjOU,سورة النجم راحة لاتوصف سر السورة في قضاء الحاجة يسر الله امورنا جميعها فالدنيا والاخرة,14,1,0,2024-06-19,14:14:10,560
MsJpJv8rAzk,Hamster combat cipher 12 june #hamster_combat #,6,1,0,2024-06-12,18:22:48,61
Fd8Hn3SoaoA,Daily combo hamster combat for 10 june 2024 support channel #hamsters #hamster_combat #daily_combo,28,2,0,2024-06-10,15:46:45,61
BRWq26sZIZI,Cipher hamster combat earn 1 million prize for today 9 june 2024,22,1,0,2024-06-09,10:03:52,61
f4yT-rC40Ww,Hamster combat 8 june daily combo 5 million and spher code 1 million  #hamster_combat #daily_combo,89,5,1,2024-06-08,13:43:11,61
fApRaPMNPW4,سورة الطور بهدوء وخشوع تام تريح الروح وتزيل التوتر والاعصاب ثبتنا الله واياكم بها,10,1,0,2024-06-07,13:50:46,429
IoxEUZQL8qs,سورة الذاريات لمن يريد الخشوع والتوبة وطلب الرحمة وابعاد الحزن انصتو رحمكم الله,6,1,0,2024-06-05,07:26:17,617
eCyH1b94Iqk,سورة ق التلاوة الشهيرة العظيمة بصوت خاشع ومبكي لمن يحن قلبه الى الله ويحب الله والتقرب اليه,8,1,0,2024-05-31,19:35:27,670
JWHqlTyjZYc,سورة الحجرات ايات خاشعات بتلاوة رفيعة تضفي راحة للنفس وتبيد كل توتر والم وتطمئن  لها الوجدان,6,1,0,2024-05-24,20:47:37,531
